"country","crew","purpose","duration","vehicle","eva","date"
"Russia","Aleksei Yeliseyov;Yevgeni Khrunov;","New airlock, Yastreb self-contained life support suit, vehicle-vehicle EVA crew transfer.  Lost camera","0:37","Soyuz 4&5","234",NA
"Russia","Alexander Kaleri;Mike Foale;","Replaced an SKK removable materials sample cassette from DC-1.  Retrieved Japanese MPAC/SEEDS panel #2 and relocated MPAC/SEEDS panel #3.  Installed ESA ""Matryoshka"" experiment.  Removed two Velcro straps from the SM's WA2 ham radio antenna.  Replaced two SKK removable materials sample cassettes on SM.  Suit cooling system failure ended work 1.5 hours early.   Did not retrieve/relocate ATV reflectors for ESA, retrieve/install Kromka thruster contamination sampling tray, reconfigure the ""Platan-M"" payload experiment or photograph external structures.  ","3:55","ISS Incr-8","340","2004-02-26T00:00:00.000"
"Russia","Alexandr Viktorenko;Alexandr Kaleri;","Kvant 2 gyrodyne inspected after insulation blankets cut.  Test EVA binoculars","2:03","Soyuz TM-14    Mir ","278","1992-07-08T00:00:00.000"
"Russia","Alexandr Viktorenko;Alexandr Serebrov;","Checkout Kvant 2 airlock & new Orlan DMA.  MMU flown tethered for 40 min to 33m.  ","4:59","Soyuz TM-8     Mir ","262",NA
"Russia","Alexandr Viktorenko;Alexandr Serebrov;","Checkout Kvant 2 airlock & new Orlan DMA.  MMU flown tethered for 93 min to 45m.  SPIN-6000 rad sensor on MMU","3:45","Soyuz TM-8     Mir ","263",NA
"Russia","Alexandr Viktorenko;Alexandr Serebrov;","Install 2 star trackers on Kvant 1.  Remove MMK2 panel from base block","2:57","Soyuz TM-8     Mir ","259","1990-01-08T00:00:00.000"
"Russia","Alexandr Viktorenko;Alexandr Serebrov;","Kvant 1 science installed (Arfa-9, SKK-1, SKK-3), ERA supports disassembled, docking system hatch relocation as prep for Kristall.  Retrieve Enchantillon experiment","2:58","Soyuz TM-8     Mir ","260","1990-01-11T00:00:00.000"
"Russia","Alexandr Viktorenko;Alexandr Serebrov;","MMU mooring post/winch installed, Atlas TV and Ferrer/Daneo science installed, solar array fasteners inspected, checkout of Kvant2 airlock and new Orlan DMA w/o umbilical","3:02","Soyuz TM-8     Mir ","261","1990-01-26T00:00:00.000"
"Russia","Alexandr Volkov;Jean-Louc Chretien;","French ERA truss experiment deploy and jettison.  Deploy Enchantillon materials experiment","5:57","Soyuz TM-7      Mir ","258",NA
"Russia","Alexandr Volkov;Sergei Krikalev;","V. suit cooling sublimator failed so must stay on umbilical.  Base block solar panel section collected.  Material experiments deployed and retrieved on Kvant2 (Sprut, SKK, DankoM, Plenka)","4:13","Soyuz TM-13     Mir ","277",NA
"Russia","Alexei Leonov;","WorldÂs first EVA, Berkut umbilical suit, Volga inflatable airlock.  Had to partially reduce suit pressure to turnaround in airlock and close hatch","0:12","Voskhod 2","233",NA
"Russia","Anatoli Berezovsky;Valentin Lebedev;","Replace scientific equipment, remove ISTOK-2 exposed materials/structure.  Improved Orlan D suit used.","2:33","Soyuz T-5     Salyut 7","239","1982-07-30T00:00:00.000"
"Russia","Anatoli Solovyov;Alexandr Balandin;","Reattach Soyuz thermal insulation blanket, Kvant 2 airlock hatch damaged.  Ingress into backup airlock of Kvant2","7:00","Soyuz TM-9       Mir ","264","1990-07-17T00:00:00.000"
"Russia","Anatoli Solovyov;Alexandr Balandin;","Soyuz repair access ladder stowed.  Kvant 2 airlock hatch inspected and forced closed","3:52","Soyuz TM-9       Mir ","265","1990-07-26T00:00:00.000"
"Russia","Anatoli Solovyov;Sergei Avdeyev;","Install thruster box on Sofora truss and deploy to ops pos","5:44","Soyuz TM-15   Mir ","281","1992-09-11T00:00:00.000"
"Russia","Anatoli Solovyov;Sergei Avdeyev;","Install thruster control cables on Sofora truss.  Attach truss to thruster box mounted on Progress","5:08","Soyuz TM-15   Mir ","280",NA
"Russia","Anatoli Solovyov;Sergei Avdeyev;","Move Kurs antenna on Kristall.  Retrieve science","3:33","Soyuz TM-15   Mir ","282","1992-09-15T00:00:00.000"
"Russia","Anatoli Solovyov;Sergei Avdeyev;","Prepare 700kg thruster box for Sofora truss.  Install truss hinge lock","3:56","Soyuz TM-15   Mir ","279",NA
"Russia","Anatoly Solovyev;Dave Wolf;","Use SPSR experiment on Kvant-2 radiator.  Kvant-2 airlock hatch inspected and bolted closed","3:52","Soyuz TM-26      Mir 24","318","1998-01-14T00:00:00.000"
"Russia","Anatoly Solovyev;Mike Foale;","Inspect Spektr exterior for leak sites (video under radiator and measure gap around solar array base).  Rotate 2 Spektr solar arrays.  Retrieve Benton dosimeter.","6:00","Soyuz TM-26      Mir 24","313","1997-09-06T00:00:00.000"
"Russia","Anatoly Solovyev;Nikola Budarin;","Cut launch restraint of Spektr solar array with U.S. tool, resecure amateur radio antenna, retether cargo crane to free Kvant-2 solar array","5:34","Soyuz TM-20      Mir 19","297","1995-07-14T00:00:00.000"
"Russia","Anatoly Solovyev;Nikola Budarin;","Deploy Miras, shake Spektr solar array to attempt deploy of end panel.  Resecure amateur radio antenna.  Open Elektron O2 system valve","5:44","Soyuz TM-20      Mir 19","299","1995-07-21T00:00:00.000"
"Russia","Anatoly Solovyev;Nikola Budarin;","Recover TREK.  Install Komplast.  Recover SKK-4, SKK-12, Platan, Stuk.  H2O cooling problem on one suit prevented Miras installation","3:06","Soyuz TM-20      Mir 19","298","1995-07-19T00:00:00.000"
"Russia","Anatoly Solovyev;Pavel Vinogradov;","Connect 2 of 3 solar array orientation cables inside Spektr.  ","6:10","Soyuz TM-26      Mir 24","314","1997-10-20T00:00:00.000"
"Russia","Anatoly Solovyev;Pavel Vinogradov;","Connect solar array power cables inside Spektr.  Inspect Spektr interior for leaks.  Retrieve science and personal hardware from Spektr.","5:30","Soyuz TM-26      Mir 24","312","1997-08-21T00:00:00.000"
"Russia","Anatoly Solovyev;Pavel Vinogradov;","Release Sputnik anniversary satellite.  Tiedown old solar array from Kvant-1 to base block.  Install Vozduk CO2 system external cap.  Retrieve base block solar array sample.  Retrieve/deploy Kvant-2 science.  Kvant-2 outer hatch leaks.  Ingress via backup airlock.","6:05","Soyuz TM-26      Mir 24","315","1997-11-03T00:00:00.000"
"Russia","Anatoly Solovyev;Pavel Vinogradov;","Retrieve U.S. OPM experiment from docking module.  Kvant-2 hatch inspected, videotaped and bolted closed.  ","3:06","Soyuz TM-26      Mir 24","317","1998-01-09T00:00:00.000"
"Russia","Anatoly Solovyev;Pavel Vinogradov;","Transfer new solar array from docking module to Kvant-1.  First handoff of stowed array from one crane to second.  Remove Vozduk external cap and install outlet diffuser.  Kvant-2 outer hatch inspected then sealed with aid of backup bolts.","6:19","Soyuz TM-26      Mir 24","316","1997-11-06T00:00:00.000"
"Russia","Dmitry Kondratiev;Oleg Skripochka;","Installed 100Mb/sec data downlink antenna and its cables.  Retrieved plasma and ExposeR materials exposure experiments.  Finished installation of MRM1 docking TV camera by cutting into impeding thermal blanket.  Jettisoned antenna cover and cable reel","5:23","ISS Incr-26","363","2011-01-21T00:00:00.000"
"Russia","Dmitry Kondratiev;Oleg Skripochka;","Installed Photon-Gamma and Radiometria experiments on SM.  Jettisoned foot restraint.  Retrieved Komplast panels from FGB.","4:51","ISS Incr-26","364","2011-02-16T00:00:00.000"
"Russia","Fyodor Yurchikhin;Alexander Misurkin;","Â Installed VINOSLIVOST experiment on MRM2, 2 MLMÂUSOS power cables, FGB Â MRM2 gap spanners, MLM-USOS ETHERNET cable
Â Installation of gap spanners SM Â MRM2 (if time allows)
Â Retracted & stowed Strela-1 on DC1","7:29","ISS Incr-36","370","2013-08-16T00:00:00.000"
"Russia","Fyodor Yurchikhin;Alexander Misurkin;","Â Retrieved laser downlink comm experiment from SM and replaced it with a biaxial camera pointing system.  
Â Inspected all 6 ATV WAL PCE antennas and tightened loose screws that lost an antenna cover overboard. 
Â collected surface ÂTestÂ samples on MRM2 EV Hatch 2
Â Installed 2 gap spanners on SM
 Displayed Russian flag for national holiday","5:58","ISS Incr-36","371","2013-08-22T00:00:00.000"
"Russia","Fyodor Yurchikhin;Alexander Misurkin;","Power cable clamps installed and Kurs tested in prep for MLM. Replaced FGB flow control valve. Installed INDICATOR of CONTROL space experiment on MRM2.  Removed VINOSLIVOST  experiment from MRM-2 and PHOTON-GAMMA from SM.  Installed 3 of 5 SM handrail gap spanners","6:34","ISS Incr-36","369","2013-06-24T00:00:00.000"
"Russia","Fyodor Yurchikhin;Oleg Kotov;","Installed SM-FGB cable for local area network (LAN) and Biorisk science experiment.  Installed last 12 MMOD shields on SM.  ","5:37","ISS Incr-15","353","2007-06-06T00:00:00.000"
